Key,Ort_R,Std_R,Car_R,Bas_R,Ort_G,Std_G,Car_G,Bas_G,Ort_B,Std_B,Car_B,Bas_B,Like,Boy_3/4 kol,Boy_Kısa Kol,Boy_Uzun Kol
115,0.6300813008129549,0.8498926025633082,0.8648760661288788,0.0121662321623058,0.6245059288537291,0.8467730629377315,0.8537920779666326,0.0112222866760907,0.5411764705882353,0.8671591179691159,0.8697516831547203,0.0104203843019288,0.5072463768115942,0,1,0
117,0.0,0.5779756657203694,0.6347321570035462,0.0586799146802056,0.1422924901185252,0.6001753483024852,0.6521128016113031,0.0481708926734112,0.5607843137254388,0.6547929938666696,0.6734738631857997,0.0404374897881895,0.6666666666666666,0,1,0
121,0.0284552845528455,0.5387894918520089,0.6043082201875842,0.070286986033918,0.3122529644268775,0.6158267176968728,0.6535365707708392,0.0446612033024338,0.8392156862744842,0.6269433491495767,0.6533257310139593,0.0463782869102025,0.3294117647058823,0,1,0
128,0.1016260162601359,0.5819446098601329,0.6130965255006846,0.0576034736254258,0.4545454545454546,0.6190442401285094,0.6448651137583317,0.0439664249437165,0.7372549019607328,0.6260564693788259,0.6455687232954144,0.0465782933690631,0.1713483146067415,0,1,0
129,0.5934959349592963,0.1443756705272759,0.2033197768223078,0.4436992689563357,0.3913043478260351,0.1677976508598393,0.219068560377354,0.3771829704820079,0.1960784313724976,0.1589438107760569,0.19889520571157,0.4110089291761222,0.1428571428571428,0,1,0
131,0.7601626016259896,0.9474570928823868,0.9498147118026968,0.0036271793533387,0.8379446640315948,0.9801423476425636,0.9811444808817328,0.0011651328265375,0.6901960784313211,0.9957312989479332,0.9957831674893622,0.000272906310643,0.2105263157894736,0,1,0
134,0.7601626016259896,0.518774958537942,0.5810949672388674,0.0769763583126454,0.6007905138339663,0.5614805149673481,0.6231693852445819,0.0578706259932214,0.0627450980392156,0.5714956363613938,0.6299467147823343,0.0603087071794515,0.4390171699230313,0,1,0
136,0.0853658536585365,0.7531685478187304,0.7926815207591518,0.0238274053516961,0.7075098814228991,0.711852282715598,0.7470241844099228,0.0272621067402099,0.4784313725489681,0.7132341736325783,0.7408099416447169,0.029816551576817,0.22,0,1,0
146,0.3170731707317073,0.5194776738193108,0.5848816369644785,0.0767329430482729,0.8102766798418973,0.5469945899570781,0.6138615282873143,0.0619219550719373,0.2901960784313211,0.5460671891015817,0.6112030246387317,0.0678058406710228,0.7333333333333333,0,0,1
147,0.150406504065014,0.4653646749217326,0.5773801555185754,0.0978864436504881,0.4624505928853237,0.540970830184093,0.635023588188588,0.0636818848841447,0.5333333333333076,0.5640270300527174,0.6511690087638589,0.062429946252718,0.4,0,0,1
